Date,Sensex_Price,Sensex_Open,Sensex_High,Sensex_Low,Sensex_Vol.,Sensex_Change %,NYSE_Price,NYSE_Open,NYSE_High,NYSE_Low,NYSE_Change %,TCS_Price,TCS_Open,TCS_High,TCS_Low,TCS_Vol.,TCS_Change %,USD_Price,USD_Open,USD_High,USD_Low,USD_Change %
01/02/24,71645.3,71998.78,72151.02,71574.89,11.49,0,14652.7,14487.3,14653.2,14485.8,0.01,3854.15,3820,3904.9,3805.05,2.36,0.01,82.95,83.08,83.09,82.92,0
02/02/24,72085.63,71977.56,73089.4,71948.77,19.37,0.01,14669.9,14652.7,14737.3,14584.1,0,3966.3,3875.05,3984.4,3872,2.83,0.03,83,82.95,83.03,82.83,0
05/02/24,71731.42,72269.12,72385.93,71602.14,19.88,0,14608.8,14669.9,14669.9,14564.5,0,3973.3,3983,4022,3962.1,1.69,0,83.04,83.01,83.1,82.96,0
06/02/24,72186.09,71970.82,72261.4,71625.18,10.47,0.01,14692.8,14608.8,14692.9,14608.8,0.01,4136,3997,4149.9,3990,4.47,0.04,83.06,83.04,83.08,83.02,0
07/02/24,72152,72548.5,72559.21,71938.22,12.78,0,14784.2,14692.8,14807.7,14692.8,0.01,4083.4,4153,4155,4073.95,2.12,-0.01,82.98,83.07,83.09,82.93,0
08/02/24,71428.43,72473.42,72473.42,71230.62,14.48,-0.01,14798.8,14784.2,14805.4,14746.3,0,4134.1,4090,4158,4086.05,2.35,0.01,82.98,82.98,83.02,82.89,0
09/02/24,71595.49,71410.29,71676.49,71200.31,18.98,0,14789.2,14798.8,14812.8,14739.1,0,4133.7,4136.55,4184.75,4100,2.1,0,83,82.98,83.06,82.95,0
12/02/24,71072.49,71722.31,71756.58,70922.57,10.69,-0.01,14821.4,14789.2,14855.2,14775.2,0,4120.7,4130,4159.6,4105.55,1.01,0,82.97,83.03,83.06,82.95,0
13/02/24,71555.19,71292.08,71662.74,70924.3,8.07,0.01,14667.3,14821.4,14821.4,14575.8,-0.01,4149.5,4125.45,4170,4081.5,1.26,0.01,83.1,83.01,83.12,82.96,0
14/02/24,71822.83,71035.25,71938.59,70809.84,10.69,0,14783.3,14667.3,14789.1,14667.3,0.01,4100.1,4107,4114.9,4049.5,1.39,-0.01,83.03,83.1,83.12,83.02,0
